evidence_id	claim	verdict	evidence_type	path_or_source	locator	confidence	limitations
E021	L1A 预注册 E5 主门槛通过	CONTRADICTED	metrics_history	workdir/models/*l1a*	matched C0/L1 E5	HIGH	mAJI -0.001001，虽 mPQ +.001154，但 mAJI +.003 门槛失败
E022	L1A E4-E5 均值提供弱正信号	SUPPORTED	metrics_history	workdir/models/*l1a*	E4-E5 mean	MEDIUM	均值约 mAJI +.001895、mPQ +.003535；非预注册主判据且仅单种子验证
E023	验证指标是所有 DDP rank 的全量严格汇总	CONTRADICTED	code	train.py	4862-5072	HIGH	默认每 rank 仅验证约 40%，且未 all_reduce；rank0 本地均值用于选模
E024	完整测试对样本指标做 DDP sum/count 汇总	SUPPORTED	code	test.py	2167-2309	HIGH	DistributedSampler 在样本数不能整除时可能复制尾样本
E025	训练验证与 full-test 的后处理完全一致	CONTRADICTED	code	train.py; test.py	validation/test defaults	HIGH	阈值、最小对象与滑窗策略不同，验证分数不可直接当 full-test
E026	AJI 与 PQ 的实现大体符合实例分割定义	SUPPORTED	code	metrics.py	7-160	HIGH	PQ 匹配采用 IoU 严格大于 .5；跨项目比较仍需核对协议
E027	动态 GT prompt 在正常评估中被禁用	SUPPORTED	code	utils/DataLoader.py	1368-1390	HIGH	eval 回退 organ_static；具体行为仍受命令行和数据文件影响
E028	PanNuke 训练单位是 tile，增强后实例属性会重算	SUPPORTED	code	utils/DataLoader.py	1584-1630, 1766-1807, 1960-1972	HIGH	全局 prompt 仍按 tile 共享，不能替代实例级文字
E029	当前项目已具备多种子统计因果证据	CONTRADICTED	artifact_inventory	workdir/audits; workdir/models	experiment inventory	HIGH	核心正式结论主要为 seed 42；未发现三种子 canonical full-test
E030	论文级主创新已经闭环	CONTRADICTED	synthesis	all evidence	innovation and completion audits	HIGH	候选机制存在，但主增益、对照、随机化与多种子闭环不足
